AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
2014,6,COLIMA,HOMICIDIO,CULPOSO,5,4,2,9,6,2,4,5,9,4,2,6,58
2014,6,COLIMA,SECUESTRO,SECUESTRO,1,1,1,0,2,0,0,0,0,0,0,0,5
2014,6,COLIMA,EXTORSION,EXTORSION,2,0,0,6,0,0,0,1,3,0,0,1,13
2014,9,CIUDAD DE MEXICO,HOMICIDIO,DOLOSO,70,44,77,68,57,69,53,58,64,71,89,94,814
2014,9,CIUDAD DE MEXICO,HOMICIDIO,CULPOSO,58,56,57,59,58,72,50,48,61,57,73,68,717
2014,9,CIUDAD DE MEXICO,SECUESTRO,SECUESTRO,4,9,6,7,7,4,5,4,5,8,11,8,78
2014,9,CIUDAD DE MEXICO,EXTORSION,EXTORSION,54,57,55,57,59,48,59,67,49,53,49,53,660
2014,10,DURANGO,HOMICIDIO,DOLOSO,36,18,20,46,25,20,24,20,34,20,26,26,315
2014,10,DURANGO,HOMICIDIO,CULPOSO,21,23,31,34,28,31,21,30,23,27,28,28,325
2014,10,DURANGO,SECUESTRO,SECUESTRO,0,1,7,1,1,2,0,1,0,1,1,0,15
2014,10,DURANGO,EXTORSION,EXTORSION,5,6,8,7,4,8,0,2,2,3,2,0,47
2014,11,GUANAJUATO,HOMICIDIO,DOLOSO,64,49,74,49,81,56,59,72,72,67,70,65,778
2014,11,GUANAJUATO,HOMICIDIO,CULPOSO,168,171,162,156,155,106,169,135,164,131,147,203,1867
2014,11,GUANAJUATO,SECUESTRO,SECUESTRO,1,7,0,2,5,1,1,0,0,0,0,0,17
2014,11,GUANAJUATO,EXTORSION,EXTORSION,2,6,5,5,3,3,2,2,4,1,2,2,37
2014,12,GUERRERO,HOMICIDIO,DOLOSO,156,132,144,123,122,103,115,134,121,118,126,120,1514
2014,12,GUERRERO,HOMICIDIO,CULPOSO,57,72,54,65,92,64,49,48,49,51,37,45,683
2014,12,GUERRERO,SECUESTRO,SECUESTRO,8,11,11,12,12,7,11,20,9,6,13,7,127
2014,12,GUERRERO,EXTORSION,EXTORSION,15,18,13,17,11,17,8,17,10,15,15,12,168
2014,13,HIDALGO,HOMICIDIO,DOLOSO,11,13,14,16,15,12,14,10,15,9,11,8,148
2014,13,HIDALGO,HOMICIDIO,CULPOSO,44,70,54,49,62,46,45,43,58,37,53,58,619
2014,13,HIDALGO,SECUESTRO,SECUESTRO,4,1,0,3,2,3,2,2,0,0,4,0,21
2014,13,HIDALGO,EXTORSION,EXTORSION,7,7,6,13,7,4,8,11,14,11,3,6,97
2014,14,JALISCO,HOMICIDIO,DOLOSO,73,93,114,86,95,100,76,90,72,80,70,88,1037
2014,14,JALISCO,HOMICIDIO,CULPOSO,82,65,80,88,61,70,67,60,70,66,83,78,870
2014,14,JALISCO,SECUESTRO,SECUESTRO,3,1,2,3,4,2,2,1,2,0,2,1,23
2014,14,JALISCO,EXTORSION,EXTORSION,85,85,147,103,47,36,32,35,31,43,36,46,726
2014,15,MEXICO,HOMICIDIO,DOLOSO,218,222,200,177,153,161,190,209,174,191,156,227,2278
2014,15,MEXICO,HOMICIDIO,CULPOSO,181,164,190,188,193,198,181,194,172,147,170,187,2165
2014,15,MEXICO,SECUESTRO,SECUESTRO,21,16,13,9,14,18,9,24,20,21,21,14,200
2014,15,MEXICO,EXTORSION,EXTORSION,159,103,85,117,86,78,82,68,84,108,72,62,1104
2014,16,MICHOACAN,HOMICIDIO,DOLOSO,105,89,106,94,119,114,73,81,84,75,71,74,1085
2014,16,MICHOACAN,HOMICIDIO,CULPOSO,116,133,155,155,155,137,139,128,107,119,122,132,1598
2014,16,MICHOACAN,SECUESTRO,SECUESTRO,14,14,13,10,9,10,1,2,2,4,3,2,84
2014,16,MICHOACAN,EXTORSION,EXTORSION,37,27,36,31,39,31,9,8,2,4,2,3,229
2014,17,MORELOS,HOMICIDIO,DOLOSO,49,52,50,42,32,34,33,41,33,31,35,20,452
2014,17,MORELOS,HOMICIDIO,CULPOSO,43,54,41,39,42,31,24,37,40,39,25,46,461
2014,17,MORELOS,SECUESTRO,SECUESTRO,19,15,12,15,8,7,14,10,10,8,5,5,128
2014,17,MORELOS,EXTORSION,EXTORSION,47,39,33,48,35,31,33,17,18,25,14,17,357
2014,18,NAYARIT,HOMICIDIO,DOLOSO,11,7,10,10,12,15,10,13,13,5,6,3,115
2014,18,NAYARIT,HOMICIDIO,CULPOSO,8,10,3,8,13,6,2,17,3,10,7,14,101
2014,18,NAYARIT,SECUESTRO,SECUESTRO,0,2,1,1,0,0,0,0,0,0,0,1,5
2014,18,NAYARIT,EXTORSION,EXTORSION,0,0,0,0,1,0,0,0,0,0,0,0,1
2014,19,NUEVO LEON,HOMICIDIO,DOLOSO,45,39,50,52,42,34,34,38,44,33,38,41,490
2014,19,NUEVO LEON,HOMICIDIO,CULPOSO,87,49,53,50,65,60,60,102,47,63,56,57,749
2014,19,NUEVO LEON,SECUESTRO,SECUESTRO,4,5,4,3,6,4,6,1,3,3,1,2,42
2014,19,NUEVO LEON,EXTORSION,EXTORSION,27,21,29,28,35,52,31,25,40,40,29,38,395
2014,20,OAXACA,HOMICIDIO,DOLOSO,44,50,68,54,51,58,76,56,59,65,62,66,709
2014,20,OAXACA,HOMICIDIO,CULPOSO,86,96,96,93,60,80,60,52,75,38,22,25,783
2014,20,OAXACA,SECUESTRO,SECUESTRO,3,3,3,3,9,2,4,3,0,3,4,3,40
2014,20,OAXACA,EXTORSION,EXTORSION,14,10,7,13,11,9,4,5,3,10,8,8,102
2014,21,PUEBLA,HOMICIDIO,DOLOSO,32,25,28,31,21,24,21,28,39,42,49,27,367
2014,21,PUEBLA,HOMICIDIO,CULPOSO,59,51,51,57,50,49,51,61,57,50,59,34,629
2014,21,PUEBLA,SECUESTRO,SECUESTRO,4,7,6,4,3,0,2,1,1,2,2,2,34
2014,21,PUEBLA,EXTORSION,EXTORSION,16,13,8,6,13,12,14,14,21,24,19,20,180
2014,22,QUERETARO,HOMICIDIO,DOLOSO,7,8,10,5,8,3,8,12,14,14,6,8,103
2014,22,QUERETARO,HOMICIDIO,CULPOSO,40,30,25,15,24,19,29,22,39,28,39,24,334
2014,22,QUERETARO,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,3,2,1,1,1,8
2014,22,QUERETARO,EXTORSION,EXTORSION,7,0,0,0,1,0,1,0,0,1,0,0,10
2014,23,QUINTANA ROO,HOMICIDIO,DOLOSO,18,8,21,18,16,15,8,14,14,8,21,19,180
2014,23,QUINTANA ROO,HOMICIDIO,CULPOSO,28,31,29,30,26,25,26,26,15,25,19,30,310
2014,23,QUINTANA ROO,SECUESTRO,SECUESTRO,1,0,1,0,2,0,1,0,0,3,0,3,11
2014,23,QUINTANA ROO,EXTORSION,EXTORSION,22,24,8,39,29,17,17,27,15,19,13,11,241
2014,24,SAN LUIS POTOSI,HOMICIDIO,DOLOSO,26,15,25,20,16,25,21,22,16,21,19,20,246
2014,24,SAN LUIS POTOSI,HOMICIDIO,CULPOSO,16,25,10,13,9,8,8,5,5,3,7,5,114
2014,24,SAN LUIS POTOSI,SECUESTRO,SECUESTRO,1,1,0,0,2,1,0,1,0,2,7,0,15
2014,24,SAN LUIS POTOSI,EXTORSION,EXTORSION,0,21,13,6,8,8,4,2,8,6,4,4,84
2014,25,SINALOA,HOMICIDIO,DOLOSO,98,80,97,89,121,82,54,66,60,73,60,106,986
2014,25,SINALOA,HOMICIDIO,CULPOSO,46,52,55,79,52,55,37,44,33,50,46,51,600
2014,25,SINALOA,SECUESTRO,SECUESTRO,2,3,2,1,3,0,0,2,4,1,0,3,21
2014,25,SINALOA,EXTORSION,EXTORSION,6,8,24,8,10,8,14,5,17,15,11,13,139
2014,26,SONORA,HOMICIDIO,DOLOSO,56,45,61,49,64,39,32,49,34,59,40,40,568
2014,26,SONORA,HOMICIDIO,CULPOSO,48,29,43,56,40,39,24,32,26,40,27,48,452
2014,26,SONORA,SECUESTRO,SECUESTRO,1,1,1,1,2,1,2,2,0,0,0,1,12
2014,26,SONORA,EXTORSION,EXTORSION,0,3,0,3,4,2,0,1,1,4,7,3,28
2014,27,TABASCO,HOMICIDIO,DOLOSO,16,9,16,15,17,20,13,13,17,15,17,10,178
2014,27,TABASCO,HOMICIDIO,CULPOSO,30,28,40,36,39,38,26,39,32,51,30,48,437
2014,27,TABASCO,SECUESTRO,SECUESTRO,14,13,12,8,13,8,7,9,4,5,6,7,106
2014,27,TABASCO,EXTORSION,EXTORSION,17,18,10,14,15,9,14,16,18,14,1,7,153
2014,28,TAMAULIPAS,HOMICIDIO,DOLOSO,67,86,57,128,168,85,57,67,66,80,44,42,947
2014,28,TAMAULIPAS,HOMICIDIO,CULPOSO,41,51,54,69,63,58,83,123,58,76,70,92,838
2014,28,TAMAULIPAS,SECUESTRO,SECUESTRO,26,36,41,44,30,42,121,106,33,33,26,25,563
2014,28,TAMAULIPAS,EXTORSION,EXTORSION,25,32,30,14,18,16,26,29,23,18,10,11,252
2014,29,TLAXCALA,HOMICIDIO,DOLOSO,6,8,5,7,5,7,8,8,4,2,3,3,66
2014,29,TLAXCALA,HOMICIDIO,CULPOSO,24,24,34,21,22,25,30,23,34,25,20,26,308
2014,29,TLAXCALA,SECUESTRO,SECUESTRO,1,0,0,0,0,0,0,1,0,1,2,2,7
2014,29,TLAXCALA,EXTORSION,EXTORSION,0,2,0,1,0,2,0,1,0,1,0,0,7
2014,30,VERACRUZ,HOMICIDIO,DOLOSO,27,49,41,63,48,85,47,49,43,43,42,32,569
2014,30,VERACRUZ,HOMICIDIO,CULPOSO,57,39,33,59,45,48,46,49,44,42,47,52,561
2014,30,VERACRUZ,SECUESTRO,SECUESTRO,10,14,18,26,14,19,11,12,9,10,8,7,158
2014,30,VERACRUZ,EXTORSION,EXTORSION,12,24,40,40,21,19,17,24,19,16,15,13,260
2014,31,YUCATAN,HOMICIDIO,DOLOSO,0,2,4,2,3,4,8,3,3,7,3,3,42
2014,31,YUCATAN,HOMICIDIO,CULPOSO,6,12,4,6,5,4,6,2,5,4,5,3,62
2014,31,YUCATAN,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,31,YUCATAN,EXTORSION,EXTORSION,9,5,4,8,4,4,2,2,2,2,9,7,58
2014,32,ZACATECAS,HOMICIDIO,DOLOSO,8,8,6,10,13,3,7,11,12,20,18,12,128
2014,32,ZACATECAS,HOMICIDIO,CULPOSO,11,21,18,18,4,8,14,13,11,18,12,18,166
2014,32,ZACATECAS,SECUESTRO,SECUESTRO,3,3,2,2,2,0,1,1,2,0,0,1,17
2014,32,ZACATECAS,EXTORSION,EXTORSION,1,0,7,12,7,5,4,8,7,8,6,6,71
2015,1,AGUASCALIENTES,HOMICIDIO,DOLOSO,7,1,4,4,4,4,3,3,4,2,3,2,41
2015,1,AGUASCALIENTES,HOMICIDIO,CULPOSO,17,22,13,19,14,12,16,11,24,17,7,16,188
2015,1,AGUASCALIENTES,SECUESTRO,SECUESTRO,0,0,1,1,0,0,0,1,0,1,1,0,5
2015,1,AGUASCALIENTES,EXTORSION,EXTORSION,2,4,1,5,8,2,1,3,2,7,5,2,42
2015,2,BAJA CALIFORNIA,HOMICIDIO,DOLOSO,52,59,62,69,80,84,79,91,93,79,85,73,906
2015,2,BAJA CALIFORNIA,HOMICIDIO,CULPOSO,28,28,42,37,19,32,44,40,36,46,42,39,433
2015,2,BAJA CALIFORNIA,SECUESTRO,SECUESTRO,3,1,0,8,3,2,1,1,0,0,2,0,21
2015,2,BAJA CALIFORNIA,EXTORSION,EXTORSION,7,19,24,10,17,16,19,19,27,20,17,26,221
2015,3,BAJA CALIFORNIA SUR,HOMICIDIO,DOLOSO,17,11,8,18,22,7,11,28,34,6,7,6,175
2015,3,BAJA CALIFORNIA SUR,HOMICIDIO,CULPOSO,4,4,3,6,2,11,6,5,3,3,3,1,51
2015,3,BAJA CALIFORNIA SUR,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,BAJA CALIFORNIA SUR,EXTORSION,EXTORSION,3,3,4,7,10,5,0,3,4,0,6,4,49
2015,4,CAMPECHE,HOMICIDIO,DOLOSO,4,5,10,4,8,6,0,4,3,4,4,7,59
2015,4,CAMPECHE,HOMICIDIO,CULPOSO,13,4,10,7,3,13,2,10,5,7,3,10,87
2015,4,CAMPECHE,SECUESTRO,SECUESTRO,0,1,0,0,1,1,1,0,0,2,0,0,6
2015,4,CAMPECHE,EXTORSION,EXTORSION,2,0,0,2,3,3,3,1,4,7,3,6,34
2015,7,CHIAPAS,HOMICIDIO,DOLOSO,37,42,33,49,43,40,34,57,55,45,40,38,513
2015,7,CHIAPAS,HOMICIDIO,CULPOSO,87,111,114,118,106,81,92,72,63,88,70,81,1083
2015,7,CHIAPAS,SECUESTRO,SECUESTRO,0,0,2,0,0,1,0,0,2,1,2,4,12
2015,7,CHIAPAS,EXTORSION,EXTORSION,10,13,12,24,38,27,20,13,18,28,27,16,246
2015,8,CHIHUAHUA,HOMICIDIO,DOLOSO,116,107,103,78,110,108,122,111,75,74,71,76,1151
2015,8,CHIHUAHUA,HOMICIDIO,CULPOSO,22,28,33,25,35,32,40,34,33,20,43,49,394
2015,8,CHIHUAHUA,SECUESTRO,SECUESTRO,2,2,0,0,0,1,0,0,1,1,0,0,7
2015,8,CHIHUAHUA,EXTORSION,EXTORSION,0,0,1,1,2,1,0,3,3,0,0,0,11
2015,5,COAHUILA,HOMICIDIO,DOLOSO,63,26,43,28,25,17,24,27,18,19,17,33,340
2015,5,COAHUILA,HOMICIDIO,CULPOSO,36,21,17,23,25,26,27,19,21,20,25,40,300
2015,5,COAHUILA,SECUESTRO,SECUESTRO,0,5,2,2,4,3,0,4,4,4,3,0,31
2015,5,COAHUILA,EXTORSION,EXTORSION,4,1,0,6,4,2,6,8,5,1,0,1,38
2015,6,COLIMA,HOMICIDIO,DOLOSO,13,12,12,7,12,11,12,10,23,18,26,33,189
2015,6,COLIMA,HOMICIDIO,CULPOSO,5,2,3,5,10,6,6,8,6,9,7,2,69
2015,6,COLIMA,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,1,0,2,1,4
2015,6,COLIMA,EXTORSION,EXTORSION,0,1,1,1,1,0,2,1,1,3,3,0,14
2015,9,CIUDAD DE MEXICO,HOMICIDIO,DOLOSO,64,64,65,81,93,74,82,79,77,73,75,74,901
2015,9,CIUDAD DE MEXICO,HOMICIDIO,CULPOSO,46,89,75,59,83,59,68,66,52,64,65,62,788
2015,9,CIUDAD DE MEXICO,SECUESTRO,SECUESTRO,3,5,3,6,5,3,7,4,5,10,5,6,62
2015,9,CIUDAD DE MEXICO,EXTORSION,EXTORSION,49,52,54,59,46,53,57,48,48,68,53,52,639
2015,10,DURANGO,HOMICIDIO,DOLOSO,17,21,31,28,21,19,22,15,13,15,14,22,238
2015,10,DURANGO,HOMICIDIO,CULPOSO,29,30,12,16,35,26,19,21,21,25,26,23,283
2015,10,DURANGO,SECUESTRO,SECUESTRO,0,0,0,0,1,1,1,0,1,0,2,1,7
2015,10,DURANGO,EXTORSION,EXTORSION,4,5,6,8,4,5,3,9,5,3,8,5,65
2015,11,GUANAJUATO,HOMICIDIO,DOLOSO,67,72,68,77,73,92,65,102,97,100,87,75,975
2015,11,GUANAJUATO,HOMICIDIO,CULPOSO,173,131,138,159,174,118,190,164,164,166,188,161,1926
2015,11,GUANAJUATO,SECUESTRO,SECUESTRO,0,3,0,3,1,0,0,1,1,1,1,0,11
2015,11,GUANAJUATO,EXTORSION,EXTORSION,1,0,1,2,2,0,1,0,0,1,0,2,10
2015,12,GUERRERO,HOMICIDIO,DOLOSO,138,140,155,194,175,141,179,199,163,167,173,192,2016
2015,12,GUERRERO,HOMICIDIO,CULPOSO,52,43,52,57,73,42,64,64,54,70,66,68,705
2015,12,GUERRERO,SECUESTRO,SECUESTRO,11,27,5,9,4,12,10,3,6,6,6,11,110
2015,12,GUERRERO,EXTORSION,EXTORSION,11,16,16,14,17,14,8,7,10,12,12,13,150
2015,13,HIDALGO,HOMICIDIO,DOLOSO,5,18,13,7,8,12,12,16,22,18,14,14,159
2015,13,HIDALGO,HOMICIDIO,CULPOSO,46,40,35,39,42,35,37,57,72,44,47,35,529
2015,13,HIDALGO,SECUESTRO,SECUESTRO,3,3,1,1,1,4,5,5,5,0,1,1,30
2015,13,HIDALGO,EXTORSION,EXTORSION,4,6,2,3,2,2,4,3,1,3,6,6,42
2015,14,JALISCO,HOMICIDIO,DOLOSO,97,81,80,97,80,85,106,105,94,103,108,115,1151
2015,14,JALISCO,HOMICIDIO,CULPOSO,95,71,86,74,60,63,73,56,72,93,81,68,892
2015,14,JALISCO,SECUESTRO,SECUESTRO,1,3,2,1,2,2,0,3,0,2,2,2,20
2015,14,JALISCO,EXTORSION,EXTORSION,68,68,75,59,101,93,90,77,67,77,56,51,882
2015,15,MEXICO,HOMICIDIO,DOLOSO,199,167,194,206,211,196,164,184,219,177,188,198,2303
2015,15,MEXICO,HOMICIDIO,CULPOSO,189,112,106,84,77,49,53,78,68,59,74,77,1026
2015,15,MEXICO,SECUESTRO,SECUESTRO,19,16,16,12,18,18,9,10,15,8,21,25,187
2015,15,MEXICO,EXTORSION,EXTORSION,57,67,72,76,63,50,44,48,39,52,46,48,662
2015,16,MICHOACAN,HOMICIDIO,DOLOSO,76,51,52,64,112,85,88,86,72,81,87,109,963
2015,16,MICHOACAN,HOMICIDIO,CULPOSO,136,118,115,108,115,117,136,124,98,111,106,167,1451
2015,16,MICHOACAN,SECUESTRO,SECUESTRO,3,2,3,3,3,4,1,1,3,3,4,4,34
2015,16,MICHOACAN,EXTORSION,EXTORSION,5,8,7,2,2,3,3,6,3,1,6,3,49
2015,17,MORELOS,HOMICIDIO,DOLOSO,31,38,60,37,32,45,42,46,52,35,45,53,516
2015,17,MORELOS,HOMICIDIO,CULPOSO,58,51,35,29,50,31,33,43,25,18,18,15,406
2015,17,MORELOS,SECUESTRO,SECUESTRO,3,3,2,1,2,3,4,2,3,2,4,4,33
2015,17,MORELOS,EXTORSION,EXTORSION,16,26,8,16,12,24,36,13,9,6,4,5,175
2015,18,NAYARIT,HOMICIDIO,DOLOSO,5,5,7,8,4,11,10,15,8,6,8,4,91
2015,18,NAYARIT,HOMICIDIO,CULPOSO,3,8,8,11,9,6,4,6,4,5,3,5,72
2015,18,NAYARIT,SECUESTRO,SECUESTRO,4,1,0,1,2,1,1,1,0,1,0,1,13
2015,18,NAYARIT,EXTORSION,EXTORSION,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,19,NUEVO LEON,HOMICIDIO,DOLOSO,34,31,33,32,41,56,33,36,49,50,25,31,451
2015,19,NUEVO LEON,HOMICIDIO,CULPOSO,45,56,76,70,71,53,81,60,89,59,72,81,813
2015,19,NUEVO LEON,SECUESTRO,SECUESTRO,2,0,3,2,4,1,3,1,1,0,3,2,22
2015,19,NUEVO LEON,EXTORSION,EXTORSION,25,59,37,57,32,41,33,49,41,54,53,52,533
2015,20,OAXACA,HOMICIDIO,DOLOSO,56,67,57,49,86,73,93,69,74,63,89,73,849
2015,20,OAXACA,HOMICIDIO,CULPOSO,95,112,132,99,94,98,97,96,62,58,61,90,1094
2015,20,OAXACA,SECUESTRO,SECUESTRO,2,3,3,3,2,2,0,2,0,4,3,5,29
2015,20,OAXACA,EXTORSION,EXTORSION,6,11,18,9,10,15,4,3,5,3,5,4,93
2015,21,PUEBLA,HOMICIDIO,DOLOSO,44,41,39,46,41,43,47,57,51,56,62,34,561
2015,21,PUEBLA,HOMICIDIO,CULPOSO,54,56,76,81,69,76,53,80,59,83,87,57,831
2015,21,PUEBLA,SECUESTRO,SECUESTRO,2,3,2,6,1,3,4,2,3,8,0,6,40
2015,21,PUEBLA,EXTORSION,EXTORSION,28,21,20,18,19,26,21,26,26,28,18,24,275
2015,22,QUERETARO,HOMICIDIO,DOLOSO,11,11,12,12,13,10,13,13,14,14,13,8,144
2015,22,QUERETARO,HOMICIDIO,CULPOSO,24,30,25,25,30,29,27,20,33,29,32,36,340
2015,22,QUERETARO,SECUESTRO,SECUESTRO,1,0,3,2,3,1,2,3,0,2,0,4,21
2015,22,QUERETARO,EXTORSION,EXTORSION,8,0,1,0,0,0,0,3,0,0,0,0,12
2015,23,QUINTANA ROO,HOMICIDIO,DOLOSO,15,12,11,20,11,23,21,29,24,23,27,12,228
2015,23,QUINTANA ROO,HOMICIDIO,CULPOSO,23,26,32,39,33,23,28,22,27,35,28,27,343
2015,23,QUINTANA ROO,SECUESTRO,SECUESTRO,2,0,0,1,3,1,0,0,0,0,0,0,7
2015,23,QUINTANA ROO,EXTORSION,EXTORSION,11,13,15,6,2,6,8,10,12,18,10,5,116
2015,24,SAN LUIS POTOSI,HOMICIDIO,DOLOSO,19,13,15,14,28,25,23,23,17,27,24,29,257
2015,24,SAN LUIS POTOSI,HOMICIDIO,CULPOSO,14,9,18,14,9,21,13,7,13,9,12,14,153
2015,24,SAN LUIS POTOSI,SECUESTRO,SECUESTRO,1,5,0,0,1,4,2,1,10,4,0,1,29
2015,24,SAN LUIS POTOSI,EXTORSION,EXTORSION,13,11,20,15,12,21,15,9,7,11,8,13,155
2015,25,SINALOA,HOMICIDIO,DOLOSO,69,78,64,82,117,82,78,92,70,76,99,87,994
2015,25,SINALOA,HOMICIDIO,CULPOSO,47,53,65,61,54,39,43,52,50,60,41,59,624
2015,25,SINALOA,SECUESTRO,SECUESTRO,1,3,1,1,1,0,1,0,1,1,1,1,12
2015,25,SINALOA,EXTORSION,EXTORSION,9,10,14,15,25,11,8,4,11,12,8,7,134
2015,26,SONORA,HOMICIDIO,DOLOSO,36,40,45,32,47,54,62,50,42,42,33,29,512
2015,26,SONORA,HOMICIDIO,CULPOSO,51,28,36,32,35,48,31,28,35,37,32,35,428
2015,26,SONORA,SECUESTRO,SECUESTRO,0,0,0,1,3,0,1,0,0,1,1,3,10
2015,26,SONORA,EXTORSION,EXTORSION,0,1,3,2,2,1,2,3,4,1,0,2,21
2015,27,TABASCO,HOMICIDIO,DOLOSO,24,13,18,19,16,22,31,26,18,21,17,19,244
2015,27,TABASCO,HOMICIDIO,CULPOSO,36,48,43,47,36,40,35,47,26,36,43,51,488
2015,27,TABASCO,SECUESTRO,SECUESTRO,6,8,3,5,9,14,7,3,4,3,8,11,81
2015,27,TABASCO,EXTORSION,EXTORSION,11,25,13,29,12,16,12,10,21,17,9,10,185
2015,28,TAMAULIPAS,HOMICIDIO,DOLOSO,49,125,80,84,58,60,74,55,40,38,59,40,762
2015,28,TAMAULIPAS,HOMICIDIO,CULPOSO,65,67,71,75,101,82,88,64,67,78,66,101,925
2015,28,TAMAULIPAS,SECUESTRO,SECUESTRO,31,33,27,26,25,35,21,18,31,22,29,29,327
2015,28,TAMAULIPAS,EXTORSION,EXTORSION,14,21,26,27,18,12,16,11,11,13,9,12,190
2015,29,TLAXCALA,HOMICIDIO,DOLOSO,5,3,7,8,2,7,3,5,2,6,5,8,61
2015,29,TLAXCALA,HOMICIDIO,CULPOSO,16,18,22,31,20,18,18,19,35,23,15,40,275
2015,29,TLAXCALA,SECUESTRO,SECUESTRO,5,0,0,0,1,0,1,0,0,1,0,1,9
2015,29,TLAXCALA,EXTORSION,EXTORSION,2,0,1,2,1,0,1,0,2,0,0,0,9
2015,30,VERACRUZ,HOMICIDIO,DOLOSO,30,38,42,41,40,37,64,58,53,65,74,73,615
2015,30,VERACRUZ,HOMICIDIO,CULPOSO,49,50,40,36,34,39,43,40,44,55,44,35,509
2015,30,VERACRUZ,SECUESTRO,SECUESTRO,5,10,12,11,9,11,12,11,6,12,10,7,116
2015,30,VERACRUZ,EXTORSION,EXTORSION,14,15,15,13,11,12,10,9,8,8,9,7,131
2015,31,YUCATAN,HOMICIDIO,DOLOSO,1,1,8,3,8,4,7,1,4,2,4,10,53
2015,31,YUCATAN,HOMICIDIO,CULPOSO,4,4,5,4,5,5,4,8,4,4,1,4,52
